2024-06-07 16:33:56	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet50', model_adaptation_method='dyn', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-shot_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='shot_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-impulse_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='impulse_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-defocus_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='defocus_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-glass_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='glass_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-motion_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='motion_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-zoom_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='zoom_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-snow-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='snow', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-frost-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='frost', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-fog-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='fog', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-brightness-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='brightness', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-contrast-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='contrast', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-elastic_transform-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='elastic_transform', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-pixelate-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='pixelate', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-jpeg_compression-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='jpeg_compression', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1)], test_case=TestCase(inter_domain=BatchMixing(non_iid_pattern='class_wise_over_domain', non_iid_ness=0.01, batch_size=64, sp_order='Shuffle_Shuffle', sp_scenarios='Homo&Cross&Heter'), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2024-06-07 16:34:16		initialize selection method=last_iterate.
2024-06-07 16:34:16		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:17		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:17		initialize selection method=last_iterate.
2024-06-07 16:34:17		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:18		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:18		initialize selection method=last_iterate.
2024-06-07 16:34:18		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:19		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:19		initialize selection method=last_iterate.
2024-06-07 16:34:19		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:20		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:20		initialize selection method=last_iterate.
2024-06-07 16:34:20		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:21		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:21		initialize selection method=last_iterate.
2024-06-07 16:34:21		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:21		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:21		initialize selection method=last_iterate.
2024-06-07 16:34:21		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:22		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:22		initialize selection method=last_iterate.
2024-06-07 16:34:22		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:23		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:23		initialize selection method=last_iterate.
2024-06-07 16:34:23		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:24		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:24		initialize selection method=last_iterate.
2024-06-07 16:34:24		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:25		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:25		initialize selection method=last_iterate.
2024-06-07 16:34:25		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:26		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:26		initialize selection method=last_iterate.
2024-06-07 16:34:26		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:26		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:26		initialize selection method=last_iterate.
2024-06-07 16:34:26		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:27		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:27		initialize selection method=last_iterate.
2024-06-07 16:34:27		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:28		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:28		initialize selection method=last_iterate.
2024-06-07 16:34:28		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:29		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:29		initialize selection method=last_iterate.
2024-06-07 16:34:29		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:30		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:30		initialize selection method=last_iterate.
2024-06-07 16:34:30		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:31		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:31		initialize selection method=last_iterate.
2024-06-07 16:34:31		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:31		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:31		initialize selection method=last_iterate.
2024-06-07 16:34:31		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:32		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:32		initialize selection method=last_iterate.
2024-06-07 16:34:32		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:33		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:33		initialize selection method=last_iterate.
2024-06-07 16:34:33		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:34		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:34		initialize selection method=last_iterate.
2024-06-07 16:34:34		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:35		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:35		initialize selection method=last_iterate.
2024-06-07 16:34:35		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:36		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:36		initialize selection method=last_iterate.
2024-06-07 16:34:36		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:36		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:36		initialize selection method=last_iterate.
2024-06-07 16:34:36		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:37		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:37		initialize selection method=last_iterate.
2024-06-07 16:34:37		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:38		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:38		initialize selection method=last_iterate.
2024-06-07 16:34:38		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:39		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:39		initialize selection method=last_iterate.
2024-06-07 16:34:39		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:40		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:40		initialize selection method=last_iterate.
2024-06-07 16:34:40		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:40		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:41		initialize selection method=last_iterate.
2024-06-07 16:34:41		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:41		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:41		initialize selection method=last_iterate.
2024-06-07 16:34:41		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:42		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:42		initialize selection method=last_iterate.
2024-06-07 16:34:42		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:43		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:43		initialize selection method=last_iterate.
2024-06-07 16:34:43		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:44		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:44		initialize selection method=last_iterate.
2024-06-07 16:34:44		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:45		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:45		initialize selection method=last_iterate.
2024-06-07 16:34:45		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:45		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:45		initialize selection method=last_iterate.
2024-06-07 16:34:45		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:46		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:46		initialize selection method=last_iterate.
2024-06-07 16:34:46		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:47		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:47		initialize selection method=last_iterate.
2024-06-07 16:34:47		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:48		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:48		initialize selection method=last_iterate.
2024-06-07 16:34:48		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:49		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:49		initialize selection method=last_iterate.
2024-06-07 16:34:49		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:50		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:50		initialize selection method=last_iterate.
2024-06-07 16:34:50		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:51		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:51		initialize selection method=last_iterate.
2024-06-07 16:34:51		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:51		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:51		initialize selection method=last_iterate.
2024-06-07 16:34:51		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:52		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:52		initialize selection method=last_iterate.
2024-06-07 16:34:52		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:53		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:53		initialize selection method=last_iterate.
2024-06-07 16:34:53		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:54		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:54		initialize selection method=last_iterate.
2024-06-07 16:34:54		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:55		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:55		initialize selection method=last_iterate.
2024-06-07 16:34:55		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:56		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:56		initialize selection method=last_iterate.
2024-06-07 16:34:56		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:56		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:56		initialize selection method=last_iterate.
2024-06-07 16:34:56		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:57		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:57		initialize selection method=last_iterate.
2024-06-07 16:34:57		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:58		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:58		initialize selection method=last_iterate.
2024-06-07 16:34:58		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:34:59		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:34:59		initialize selection method=last_iterate.
2024-06-07 16:34:59		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:00		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:00		initialize selection method=last_iterate.
2024-06-07 16:35:00		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:00		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:00		initialize selection method=last_iterate.
2024-06-07 16:35:00		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:01		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:01		initialize selection method=last_iterate.
2024-06-07 16:35:01		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:02		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:02		initialize selection method=last_iterate.
2024-06-07 16:35:02		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:03		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:03		initialize selection method=last_iterate.
2024-06-07 16:35:03		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:04		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:04		initialize selection method=last_iterate.
2024-06-07 16:35:04		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:05		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:05		initialize selection method=last_iterate.
2024-06-07 16:35:05		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:06		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:06		initialize selection method=last_iterate.
2024-06-07 16:35:06		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:07		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:07		initialize selection method=last_iterate.
2024-06-07 16:35:07		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:07		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:07		initialize selection method=last_iterate.
2024-06-07 16:35:07		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:08		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:08		initialize selection method=last_iterate.
2024-06-07 16:35:08		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:09		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:09		initialize selection method=last_iterate.
2024-06-07 16:35:09		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:10		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:10		initialize selection method=last_iterate.
2024-06-07 16:35:10		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:11		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:11		initialize selection method=last_iterate.
2024-06-07 16:35:11		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:11		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:11		initialize selection method=last_iterate.
2024-06-07 16:35:11		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:12		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:35:12		initialize selection method=last_iterate.
2024-06-07 16:35:12		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:35:13		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
